,prompt_generator,phenomenon,domain,rating_type,w_statistic,pvalue,significant
0,S1-C1-A1-Q1-O1,Asymmetry,Birds,gpt3_rating,87.0,0.9654491543769836,False
1,S1-C1-A1-Q1-O1,Asymmetry,Birds,gpt4_rating,175.0,0.24539929628372192,False
2,S1-C1-A1-Q1-O1,Asymmetry,Birds,human_rating,215.5,0.0018993916078831512,True
3,S1-C1-A1-Q1-O1,Asymmetry,Mammals,gpt3_rating,148.0,0.527946412563324,False
4,S1-C1-A1-Q1-O1,Asymmetry,Mammals,gpt4_rating,200.0,0.07999265193939209,False
5,S1-C1-A1-Q1-O1,Asymmetry,Mammals,human_rating,145.0,0.4156285556139694,False
6,S1-C1-A1-Q1-O1,Asymmetry,Vehicles,gpt3_rating,261.0,0.00042313337326049805,True
7,S1-C1-A1-Q1-O1,Asymmetry,Vehicles,gpt4_rating,125.0,0.76341712474823,False
8,S1-C1-A1-Q1-O1,Asymmetry,Vehicles,human_rating,206.5,0.004663602494510512,True
9,S1-C1-A1-Q1-O1,Diversity (General),Birds,gpt3_rating,201.0,0.07575047016143799,False
10,S1-C1-A1-Q1-O1,Diversity (General),Birds,gpt4_rating,150.0,0.5055936574935913,False
11,S1-C1-A1-Q1-O1,Diversity (General),Birds,human_rating,150.0,0.5055936574935913,False
12,S1-C1-A1-Q1-O1,Diversity (General),Mammals,gpt3_rating,95.0,0.9430193901062012,False
13,S1-C1-A1-Q1-O1,Diversity (General),Mammals,gpt4_rating,231.0,0.009720981121063232,True
14,S1-C1-A1-Q1-O1,Diversity (General),Mammals,human_rating,86.0,0.9676753282546997,False
15,S1-C1-A1-Q1-O1,Diversity (General),Vehicles,gpt3_rating,98.0,0.9322359561920166,False
16,S1-C1-A1-Q1-O1,Diversity (General),Vehicles,gpt4_rating,55.0,0.9975946545600891,False
17,S1-C1-A1-Q1-O1,Diversity (General),Vehicles,human_rating,58.5,0.9923222003427156,False
18,S1-C1-A1-Q1-O1,Diversity (Specific),Birds,gpt3_rating,171.0,0.28229445219039917,False
19,S1-C1-A1-Q1-O1,Diversity (Specific),Birds,gpt4_rating,175.0,0.24539929628372192,False
20,S1-C1-A1-Q1-O1,Diversity (Specific),Birds,human_rating,112.0,0.7855865274413147,False
21,S1-C1-A1-Q1-O1,Diversity (Specific),Mammals,gpt3_rating,164.0,0.352378249168396,False
22,S1-C1-A1-Q1-O1,Diversity (Specific),Mammals,gpt4_rating,150.0,0.5055936574935913,False
23,S1-C1-A1-Q1-O1,Diversity (Specific),Mammals,human_rating,37.5,0.9997162222862244,False
24,S1-C1-A1-Q1-O1,Diversity (Specific),Vehicles,gpt3_rating,173.0,0.26352953910827637,False
25,S1-C1-A1-Q1-O1,Diversity (Specific),Vehicles,gpt4_rating,156.0,0.4387035369873047,False
26,S1-C1-A1-Q1-O1,Diversity (Specific),Vehicles,human_rating,104.0,0.8496950392741645,False
27,S1-C1-A1-Q1-O1,Inclusion Fallacy,Birds,gpt3_rating,212.0,0.039364635944366455,True
28,S1-C1-A1-Q1-O1,Inclusion Fallacy,Birds,gpt4_rating,108.0,0.8854051828384399,False
29,S1-C1-A1-Q1-O1,Inclusion Fallacy,Birds,human_rating,110.0,0.7041678595387945,False
30,S1-C1-A1-Q1-O1,Inclusion Fallacy,Mammals,gpt3_rating,236.0,0.0063024163246154785,True
31,S1-C1-A1-Q1-O1,Inclusion Fallacy,Mammals,gpt4_rating,175.0,0.24539929628372192,False
32,S1-C1-A1-Q1-O1,Inclusion Fallacy,Mammals,human_rating,202.0,0.07167518138885498,False
33,S1-C1-A1-Q1-O1,Inclusion Fallacy,Vehicles,gpt3_rating,244.0,0.0029488205909729004,True
34,S1-C1-A1-Q1-O1,Inclusion Fallacy,Vehicles,gpt4_rating,237.0,0.005758047103881836,True
35,S1-C1-A1-Q1-O1,Inclusion Fallacy,Vehicles,human_rating,272.5,8.7738037109375e-05,True
36,S1-C1-A1-Q1-O1,Monotonicity (General),Birds,gpt3_rating,300.0,5.960464477539063e-08,True
37,S1-C1-A1-Q1-O1,Monotonicity (General),Birds,gpt4_rating,300.0,5.960464477539063e-08,True
38,S1-C1-A1-Q1-O1,Monotonicity (General),Birds,human_rating,300.0,5.960464477539063e-08,True
39,S1-C1-A1-Q1-O1,Monotonicity (General),Mammals,gpt3_rating,300.0,5.960464477539063e-08,True
40,S1-C1-A1-Q1-O1,Monotonicity (General),Mammals,gpt4_rating,300.0,5.960464477539063e-08,True
41,S1-C1-A1-Q1-O1,Monotonicity (General),Mammals,human_rating,300.0,5.960464477539063e-08,True
42,S1-C1-A1-Q1-O1,Monotonicity (General),Vehicles,gpt3_rating,300.0,5.960464477539063e-08,True
43,S1-C1-A1-Q1-O1,Monotonicity (General),Vehicles,gpt4_rating,300.0,5.960464477539063e-08,True
44,S1-C1-A1-Q1-O1,Monotonicity (General),Vehicles,human_rating,294.0,8.344650268554688e-07,True
45,S1-C1-A1-Q1-O1,Monotonicity (Specific),Birds,gpt3_rating,300.0,5.960464477539063e-08,True
46,S1-C1-A1-Q1-O1,Monotonicity (Specific),Birds,gpt4_rating,300.0,5.960464477539063e-08,True
47,S1-C1-A1-Q1-O1,Monotonicity (Specific),Birds,human_rating,300.0,5.960464477539063e-08,True
48,S1-C1-A1-Q1-O1,Monotonicity (Specific),Mammals,gpt3_rating,300.0,5.960464477539063e-08,True
49,S1-C1-A1-Q1-O1,Monotonicity (Specific),Mammals,gpt4_rating,300.0,5.960464477539063e-08,True
50,S1-C1-A1-Q1-O1,Monotonicity (Specific),Mammals,human_rating,245.0,0.002665221691131592,True
51,S1-C1-A1-Q1-O1,Monotonicity (Specific),Vehicles,gpt3_rating,300.0,5.960464477539063e-08,True
52,S1-C1-A1-Q1-O1,Monotonicity (Specific),Vehicles,gpt4_rating,278.0,3.1948089599609375e-05,True
53,S1-C1-A1-Q1-O1,Monotonicity (Specific),Vehicles,human_rating,169.5,0.08121527863407396,False
54,S1-C1-A1-Q1-O1,Nonmonotonicity (General),Birds,gpt3_rating,4.0,0.9999997019767761,False
55,S1-C1-A1-Q1-O1,Nonmonotonicity (General),Birds,gpt4_rating,120.0,0.8048766851425171,False
56,S1-C1-A1-Q1-O1,Nonmonotonicity (General),Birds,human_rating,300.0,5.960464477539063e-08,True
57,S1-C1-A1-Q1-O1,Nonmonotonicity (General),Mammals,gpt3_rating,0.0,1.0,False
58,S1-C1-A1-Q1-O1,Nonmonotonicity (General),Mammals,gpt4_rating,12.5,0.9999967217445374,False
59,S1-C1-A1-Q1-O1,Nonmonotonicity (General),Mammals,human_rating,296.5,4.172325134277344e-07,True
60,S1-C1-A1-Q1-O1,Nonmonotonicity (General),Vehicles,gpt3_rating,11.0,0.9999974370002747,False
61,S1-C1-A1-Q1-O1,Nonmonotonicity (General),Vehicles,gpt4_rating,96.5,0.9395799040794373,False
62,S1-C1-A1-Q1-O1,Nonmonotonicity (General),Vehicles,human_rating,258.5,0.0006189942359924316,True
63,S1-C1-A1-Q1-O1,Nonmonotonicity (Specific),Birds,gpt3_rating,16.0,0.9999918341636658,False
64,S1-C1-A1-Q1-O1,Nonmonotonicity (Specific),Birds,gpt4_rating,16.0,0.9999918341636658,False
65,S1-C1-A1-Q1-O1,Nonmonotonicity (Specific),Birds,human_rating,299.0,1.1920928955078125e-07,True
66,S1-C1-A1-Q1-O1,Nonmonotonicity (Specific),Mammals,gpt3_rating,0.0,1.0,False
67,S1-C1-A1-Q1-O1,Nonmonotonicity (Specific),Mammals,gpt4_rating,0.0,1.0,False
68,S1-C1-A1-Q1-O1,Nonmonotonicity (Specific),Mammals,human_rating,224.5,0.016992568969726562,True
69,S1-C1-A1-Q1-O1,Nonmonotonicity (Specific),Vehicles,gpt3_rating,11.0,0.9999974370002747,False
70,S1-C1-A1-Q1-O1,Nonmonotonicity (Specific),Vehicles,gpt4_rating,33.0,0.9998388290405273,False
71,S1-C1-A1-Q1-O1,Nonmonotonicity (Specific),Vehicles,human_rating,258.5,0.0006189942359924316,True
72,S1-C1-A1-Q1-O1,Similarity,Birds,gpt3_rating,170.0,0.42659977078437805,False
73,S1-C1-A1-Q1-O1,Similarity,Birds,gpt4_rating,256.0,0.005255401134490967,True
74,S1-C1-A1-Q1-O1,Similarity,Birds,human_rating,322.0,1.4901161193847656e-07,True
75,S1-C1-A1-Q1-O1,Similarity,Mammals,gpt3_rating,288.0,0.0016145706176757812,True
76,S1-C1-A1-Q1-O1,Similarity,Mammals,gpt4_rating,285.0,0.002139568328857422,True
77,S1-C1-A1-Q1-O1,Similarity,Mammals,human_rating,350.0,2.9802322387695312e-08,True
78,S1-C1-A1-Q1-O1,Similarity,Vehicles,gpt3_rating,251.0,0.007986485958099365,True
79,S1-C1-A1-Q1-O1,Similarity,Vehicles,gpt4_rating,305.0,1.1056661605834961e-05,True
80,S1-C1-A1-Q1-O1,Similarity,Vehicles,human_rating,324.0,5.960464477539063e-08,True
81,S1-C1-A1-Q1-O1,Specificity,Birds,gpt3_rating,274.0,6.35385513305664e-05,True
82,S1-C1-A1-Q1-O1,Specificity,Birds,gpt4_rating,300.0,5.960464477539063e-08,True
83,S1-C1-A1-Q1-O1,Specificity,Birds,human_rating,300.0,5.960464477539063e-08,True
84,S1-C1-A1-Q1-O1,Specificity,Mammals,gpt3_rating,300.0,5.960464477539063e-08,True
85,S1-C1-A1-Q1-O1,Specificity,Mammals,gpt4_rating,300.0,5.960464477539063e-08,True
86,S1-C1-A1-Q1-O1,Specificity,Mammals,human_rating,300.0,5.960464477539063e-08,True
87,S1-C1-A1-Q1-O1,Specificity,Vehicles,gpt3_rating,216.0,0.030213534832000732,True
88,S1-C1-A1-Q1-O1,Specificity,Vehicles,gpt4_rating,300.0,5.960464477539063e-08,True
89,S1-C1-A1-Q1-O1,Specificity,Vehicles,human_rating,300.0,5.960464477539063e-08,True
90,S1-C1-A1-Q1-O1,Typicality,Birds,gpt3_rating,220.0,0.022839844226837158,True
91,S1-C1-A1-Q1-O1,Typicality,Birds,gpt4_rating,200.0,0.07999265193939209,False
92,S1-C1-A1-Q1-O1,Typicality,Birds,human_rating,281.0,1.8298625946044922e-05,True
93,S1-C1-A1-Q1-O1,Typicality,Mammals,gpt3_rating,175.0,0.24539929628372192,False
94,S1-C1-A1-Q1-O1,Typicality,Mammals,gpt4_rating,212.5,0.039364635944366455,True
95,S1-C1-A1-Q1-O1,Typicality,Mammals,human_rating,275.0,1.5198802921292732e-05,True
96,S1-C1-A1-Q1-O1,Typicality,Vehicles,gpt3_rating,206.0,0.05698060989379883,False
97,S1-C1-A1-Q1-O1,Typicality,Vehicles,gpt4_rating,268.5,0.00016117095947265625,True
98,S1-C1-A1-Q1-O1,Typicality,Vehicles,human_rating,300.0,5.960464477539063e-08,True
99,S3-C1-A1-Q1-O1,Asymmetry,Birds,gpt3_rating,87.0,0.9654491543769836,False
100,S3-C1-A1-Q1-O1,Asymmetry,Birds,gpt4_rating,162.5,0.373462975025177,False
101,S3-C1-A1-Q1-O1,Asymmetry,Birds,human_rating,215.5,0.0018993916078831512,True
102,S3-C1-A1-Q1-O1,Asymmetry,Mammals,gpt3_rating,148.0,0.527946412563324,False
103,S3-C1-A1-Q1-O1,Asymmetry,Mammals,gpt4_rating,200.0,0.07999265193939209,False
104,S3-C1-A1-Q1-O1,Asymmetry,Mammals,human_rating,145.0,0.4156285556139694,False
105,S3-C1-A1-Q1-O1,Asymmetry,Vehicles,gpt3_rating,261.0,0.00042313337326049805,True
106,S3-C1-A1-Q1-O1,Asymmetry,Vehicles,gpt4_rating,133.0,0.6884528398513794,False
107,S3-C1-A1-Q1-O1,Asymmetry,Vehicles,human_rating,206.5,0.004663602494510512,True
108,S3-C1-A1-Q1-O1,Diversity (General),Birds,gpt3_rating,201.0,0.07575047016143799,False
109,S3-C1-A1-Q1-O1,Diversity (General),Birds,gpt4_rating,204.0,0.0640135407447815,False
110,S3-C1-A1-Q1-O1,Diversity (General),Birds,human_rating,150.0,0.5055936574935913,False
111,S3-C1-A1-Q1-O1,Diversity (General),Mammals,gpt3_rating,95.0,0.9430193901062012,False
112,S3-C1-A1-Q1-O1,Diversity (General),Mammals,gpt4_rating,208.0,0.05054819583892822,False
113,S3-C1-A1-Q1-O1,Diversity (General),Mammals,human_rating,86.0,0.9676753282546997,False
114,S3-C1-A1-Q1-O1,Diversity (General),Vehicles,gpt3_rating,98.0,0.9322359561920166,False
115,S3-C1-A1-Q1-O1,Diversity (General),Vehicles,gpt4_rating,40.0,0.9995768666267395,False
116,S3-C1-A1-Q1-O1,Diversity (General),Vehicles,human_rating,58.5,0.9923222003427156,False
117,S3-C1-A1-Q1-O1,Diversity (Specific),Birds,gpt3_rating,171.0,0.28229445219039917,False
118,S3-C1-A1-Q1-O1,Diversity (Specific),Birds,gpt4_rating,162.5,0.373462975025177,False
119,S3-C1-A1-Q1-O1,Diversity (Specific),Birds,human_rating,112.0,0.7855865274413147,False
120,S3-C1-A1-Q1-O1,Diversity (Specific),Mammals,gpt3_rating,164.0,0.352378249168396,False
121,S3-C1-A1-Q1-O1,Diversity (Specific),Mammals,gpt4_rating,112.5,0.8615922927856445,False
122,S3-C1-A1-Q1-O1,Diversity (Specific),Mammals,human_rating,37.5,0.9997162222862244,False
123,S3-C1-A1-Q1-O1,Diversity (Specific),Vehicles,gpt3_rating,173.0,0.26352953910827637,False
124,S3-C1-A1-Q1-O1,Diversity (Specific),Vehicles,gpt4_rating,105.0,0.9013108015060425,False
125,S3-C1-A1-Q1-O1,Diversity (Specific),Vehicles,human_rating,104.0,0.8496950392741645,False
126,S3-C1-A1-Q1-O1,Inclusion Fallacy,Birds,gpt3_rating,212.0,0.039364635944366455,True
127,S3-C1-A1-Q1-O1,Inclusion Fallacy,Birds,gpt4_rating,84.0,0.9717866778373718,False
128,S3-C1-A1-Q1-O1,Inclusion Fallacy,Birds,human_rating,110.0,0.7041678595387945,False
129,S3-C1-A1-Q1-O1,Inclusion Fallacy,Mammals,gpt3_rating,236.0,0.0063024163246154785,True
130,S3-C1-A1-Q1-O1,Inclusion Fallacy,Mammals,gpt4_rating,144.0,0.5723321437835693,False
131,S3-C1-A1-Q1-O1,Inclusion Fallacy,Mammals,human_rating,202.0,0.07167518138885498,False
132,S3-C1-A1-Q1-O1,Inclusion Fallacy,Vehicles,gpt3_rating,244.0,0.0029488205909729004,True
133,S3-C1-A1-Q1-O1,Inclusion Fallacy,Vehicles,gpt4_rating,212.0,0.039364635944366455,True
134,S3-C1-A1-Q1-O1,Inclusion Fallacy,Vehicles,human_rating,272.5,8.7738037109375e-05,True
135,S3-C1-A1-Q1-O1,Monotonicity (General),Birds,gpt3_rating,300.0,5.960464477539063e-08,True
136,S3-C1-A1-Q1-O1,Monotonicity (General),Birds,gpt4_rating,300.0,5.960464477539063e-08,True
137,S3-C1-A1-Q1-O1,Monotonicity (General),Birds,human_rating,300.0,5.960464477539063e-08,True
138,S3-C1-A1-Q1-O1,Monotonicity (General),Mammals,gpt3_rating,300.0,5.960464477539063e-08,True
139,S3-C1-A1-Q1-O1,Monotonicity (General),Mammals,gpt4_rating,300.0,5.960464477539063e-08,True
140,S3-C1-A1-Q1-O1,Monotonicity (General),Mammals,human_rating,300.0,5.960464477539063e-08,True
141,S3-C1-A1-Q1-O1,Monotonicity (General),Vehicles,gpt3_rating,300.0,5.960464477539063e-08,True
142,S3-C1-A1-Q1-O1,Monotonicity (General),Vehicles,gpt4_rating,300.0,5.960464477539063e-08,True
143,S3-C1-A1-Q1-O1,Monotonicity (General),Vehicles,human_rating,294.0,8.344650268554688e-07,True
144,S3-C1-A1-Q1-O1,Monotonicity (Specific),Birds,gpt3_rating,300.0,5.960464477539063e-08,True
145,S3-C1-A1-Q1-O1,Monotonicity (Specific),Birds,gpt4_rating,300.0,5.960464477539063e-08,True
146,S3-C1-A1-Q1-O1,Monotonicity (Specific),Birds,human_rating,300.0,5.960464477539063e-08,True
147,S3-C1-A1-Q1-O1,Monotonicity (Specific),Mammals,gpt3_rating,300.0,5.960464477539063e-08,True
148,S3-C1-A1-Q1-O1,Monotonicity (Specific),Mammals,gpt4_rating,300.0,5.960464477539063e-08,True
149,S3-C1-A1-Q1-O1,Monotonicity (Specific),Mammals,human_rating,245.0,0.002665221691131592,True
150,S3-C1-A1-Q1-O1,Monotonicity (Specific),Vehicles,gpt3_rating,300.0,5.960464477539063e-08,True
151,S3-C1-A1-Q1-O1,Monotonicity (Specific),Vehicles,gpt4_rating,290.0,2.562999725341797e-06,True
152,S3-C1-A1-Q1-O1,Monotonicity (Specific),Vehicles,human_rating,169.5,0.08121527863407396,False
153,S3-C1-A1-Q1-O1,Nonmonotonicity (General),Birds,gpt3_rating,4.0,0.9999997019767761,False
154,S3-C1-A1-Q1-O1,Nonmonotonicity (General),Birds,gpt4_rating,92.0,0.9524520039558411,False
155,S3-C1-A1-Q1-O1,Nonmonotonicity (General),Birds,human_rating,300.0,5.960464477539063e-08,True
156,S3-C1-A1-Q1-O1,Nonmonotonicity (General),Mammals,gpt3_rating,0.0,1.0,False
157,S3-C1-A1-Q1-O1,Nonmonotonicity (General),Mammals,gpt4_rating,0.0,1.0,False
158,S3-C1-A1-Q1-O1,Nonmonotonicity (General),Mammals,human_rating,296.5,4.172325134277344e-07,True
159,S3-C1-A1-Q1-O1,Nonmonotonicity (General),Vehicles,gpt3_rating,11.0,0.9999974370002747,False
160,S3-C1-A1-Q1-O1,Nonmonotonicity (General),Vehicles,gpt4_rating,63.0,0.9947460889816284,False
161,S3-C1-A1-Q1-O1,Nonmonotonicity (General),Vehicles,human_rating,258.5,0.0006189942359924316,True
162,S3-C1-A1-Q1-O1,Nonmonotonicity (Specific),Birds,gpt3_rating,16.0,0.9999918341636658,False
163,S3-C1-A1-Q1-O1,Nonmonotonicity (Specific),Birds,gpt4_rating,18.5,0.9999876618385315,False
164,S3-C1-A1-Q1-O1,Nonmonotonicity (Specific),Birds,human_rating,299.0,1.1920928955078125e-07,True
165,S3-C1-A1-Q1-O1,Nonmonotonicity (Specific),Mammals,gpt3_rating,0.0,1.0,False
166,S3-C1-A1-Q1-O1,Nonmonotonicity (Specific),Mammals,gpt4_rating,0.0,1.0,False
167,S3-C1-A1-Q1-O1,Nonmonotonicity (Specific),Mammals,human_rating,224.5,0.016992568969726562,True
168,S3-C1-A1-Q1-O1,Nonmonotonicity (Specific),Vehicles,gpt3_rating,11.0,0.9999974370002747,False
169,S3-C1-A1-Q1-O1,Nonmonotonicity (Specific),Vehicles,gpt4_rating,21.0,0.9999778866767883,False
170,S3-C1-A1-Q1-O1,Nonmonotonicity (Specific),Vehicles,human_rating,258.5,0.0006189942359924316,True
171,S3-C1-A1-Q1-O1,Similarity,Birds,gpt3_rating,170.0,0.42659977078437805,False
172,S3-C1-A1-Q1-O1,Similarity,Birds,gpt4_rating,309.0,5.036592483520508e-06,True
173,S3-C1-A1-Q1-O1,Similarity,Birds,human_rating,322.0,1.4901161193847656e-07,True
174,S3-C1-A1-Q1-O1,Similarity,Mammals,gpt3_rating,288.0,0.0016145706176757812,True
175,S3-C1-A1-Q1-O1,Similarity,Mammals,gpt4_rating,318.5,4.725158214569092e-05,True
176,S3-C1-A1-Q1-O1,Similarity,Mammals,human_rating,350.0,2.9802322387695312e-08,True
177,S3-C1-A1-Q1-O1,Similarity,Vehicles,gpt3_rating,251.0,0.007986485958099365,True
178,S3-C1-A1-Q1-O1,Similarity,Vehicles,gpt4_rating,325.0,2.9802322387695312e-08,True
179,S3-C1-A1-Q1-O1,Similarity,Vehicles,human_rating,324.0,5.960464477539063e-08,True
180,S3-C1-A1-Q1-O1,Specificity,Birds,gpt3_rating,274.0,6.35385513305664e-05,True
181,S3-C1-A1-Q1-O1,Specificity,Birds,gpt4_rating,300.0,5.960464477539063e-08,True
182,S3-C1-A1-Q1-O1,Specificity,Birds,human_rating,300.0,5.960464477539063e-08,True
183,S3-C1-A1-Q1-O1,Specificity,Mammals,gpt3_rating,300.0,5.960464477539063e-08,True
184,S3-C1-A1-Q1-O1,Specificity,Mammals,gpt4_rating,300.0,5.960464477539063e-08,True
185,S3-C1-A1-Q1-O1,Specificity,Mammals,human_rating,300.0,5.960464477539063e-08,True
186,S3-C1-A1-Q1-O1,Specificity,Vehicles,gpt3_rating,216.0,0.030213534832000732,True
187,S3-C1-A1-Q1-O1,Specificity,Vehicles,gpt4_rating,300.0,5.960464477539063e-08,True
188,S3-C1-A1-Q1-O1,Specificity,Vehicles,human_rating,300.0,5.960464477539063e-08,True
189,S3-C1-A1-Q1-O1,Typicality,Birds,gpt3_rating,220.0,0.022839844226837158,True
190,S3-C1-A1-Q1-O1,Typicality,Birds,gpt4_rating,242.5,0.003594517707824707,True
191,S3-C1-A1-Q1-O1,Typicality,Birds,human_rating,281.0,1.8298625946044922e-05,True
192,S3-C1-A1-Q1-O1,Typicality,Mammals,gpt3_rating,175.0,0.24539929628372192,False
193,S3-C1-A1-Q1-O1,Typicality,Mammals,gpt4_rating,256.0,0.0007898211479187012,True
194,S3-C1-A1-Q1-O1,Typicality,Mammals,human_rating,275.0,1.5198802921292732e-05,True
195,S3-C1-A1-Q1-O1,Typicality,Vehicles,gpt3_rating,206.0,0.05698060989379883,False
196,S3-C1-A1-Q1-O1,Typicality,Vehicles,gpt4_rating,300.0,5.960464477539063e-08,True
197,S3-C1-A1-Q1-O1,Typicality,Vehicles,human_rating,300.0,5.960464477539063e-08,True
