,domain,argtype,premises,conclusion,scm,is_osherson,human_rating
426,Mammals,Specific,"('Dolphins', 'Rhinos')",Horses,,1.0,0.54
428,Mammals,Specific,"('Mice', 'Rhinos')",Horses,,1.0,0.62
430,Mammals,Specific,"('Gorillas', 'Rhinos')",Horses,,1.0,0.63
435,Mammals,Specific,"('Chimps', 'Rhinos')",Horses,,1.0,0.64
497,Vehicles,General,"('Skateboards', 'Sleds')",Vehicles,7.472222222222221,0.0,
474,Vehicles,General,"('Helicopters', 'Rockets')",Vehicles,7.547222222222222,0.0,
489,Vehicles,General,"('Rockets', 'Zeppelins')",Vehicles,7.6305555555555555,0.0,
534,Vehicles,General,"('Submarines', 'Hovercraft')",Vehicles,7.661111111111111,0.0,
467,Vehicles,General,"('Submarines', 'Rockets')",Vehicles,7.697222222222223,0.0,
524,Vehicles,General,"('Zeppelins', 'Helicopters')",Vehicles,7.766666666666667,0.0,
442,Vehicles,General,"('Hovercraft', 'Rockets')",Vehicles,7.919444444444444,0.0,
492,Vehicles,General,"('Boats', 'Submarines')",Vehicles,7.963888888888889,0.0,
523,Vehicles,General,"('Zeppelins', 'Submarines')",Vehicles,7.974999999999999,0.0,
520,Vehicles,General,"('Rockets', 'Skateboards')",Vehicles,8.005555555555555,0.0,
462,Vehicles,General,"('Airplanes', 'Helicopters')",Vehicles,8.063888888888888,0.0,
460,Vehicles,General,"('Boats', 'Hovercraft')",Vehicles,8.1,0.0,
504,Vehicles,General,"('Submarines', 'Helicopters')",Vehicles,8.116666666666667,0.0,
469,Vehicles,General,"('Airplanes', 'Rockets')",Vehicles,8.130555555555555,0.0,
453,Vehicles,General,"('Skateboards', 'Bicycles')",Vehicles,8.174999999999999,0.0,
441,Vehicles,General,"('Hovercraft', 'Zeppelins')",Vehicles,8.205555555555556,0.0,
514,Vehicles,General,"('Airplanes', 'Zeppelins')",Vehicles,8.252777777777778,0.0,
457,Vehicles,General,"('Helicopters', 'Skateboards')",Vehicles,8.291666666666666,0.0,
488,Vehicles,General,"('Skateboards', 'Submarines')",Vehicles,8.297222222222222,0.0,
509,Vehicles,General,"('Helicopters', 'Hovercraft')",Vehicles,8.302777777777777,0.0,
494,Vehicles,General,"('Bicycles', 'Mopeds')",Vehicles,8.408333333333333,0.0,
480,Vehicles,General,"('Rockets', 'Sleds')",Vehicles,8.419444444444444,0.0,
445,Vehicles,General,"('Hovercraft', 'Skateboards')",Vehicles,8.480555555555556,0.0,
472,Vehicles,General,"('Motorbikes', 'Bicycles')",Vehicles,8.480555555555556,0.0,
515,Vehicles,General,"('Boats', 'Rockets')",Vehicles,8.519444444444444,0.0,
533,Vehicles,General,"('Bicycles', 'Sleds')",Vehicles,8.527777777777779,0.0,
500,Vehicles,General,"('Skateboards', 'Zeppelins')",Vehicles,8.616666666666667,0.0,
471,Vehicles,General,"('Sleds', 'Submarines')",Vehicles,8.636111111111111,0.0,
436,Vehicles,General,"('Helicopters', 'Sleds')",Vehicles,8.638888888888888,0.0,
461,Vehicles,General,"('Zeppelins', 'Boats')",Vehicles,8.680555555555555,0.0,
470,Vehicles,General,"('Mopeds', 'Skateboards')",Vehicles,8.691666666666666,0.0,
437,Vehicles,General,"('Submarines', 'Airplanes')",Vehicles,8.722222222222221,0.0,
479,Vehicles,General,"('Boats', 'Skateboards')",Vehicles,8.758333333333333,0.0,
490,Vehicles,General,"('Skateboards', 'Motorbikes')",Vehicles,8.761111111111113,0.0,
517,Vehicles,General,"('Hovercraft', 'Sleds')",Vehicles,8.808333333333332,0.0,
495,Vehicles,General,"('Tractors', 'Skateboards')",Vehicles,8.838888888888889,0.0,
496,Vehicles,General,"('Bicycles', 'Rockets')",Vehicles,8.880555555555555,0.0,
487,Vehicles,General,"('Skateboards', 'Carts')",Vehicles,8.96111111111111,0.0,
502,Vehicles,General,"('Boats', 'Sleds')",Vehicles,9.041666666666666,0.0,
448,Vehicles,General,"('Caravans', 'Sleds')",Vehicles,9.16388888888889,0.0,
465,Vehicles,General,"('Trams', 'Sleds')",Vehicles,9.197222222222221,0.0,
513,Vehicles,General,"('Motorbikes', 'Sleds')",Vehicles,9.197222222222223,0.0,
519,Vehicles,General,"('Mopeds', 'Tractors')",Vehicles,9.200000000000001,0.0,
535,Vehicles,General,"('Tractors', 'Helicopters')",Vehicles,9.238888888888889,0.0,
530,Vehicles,General,"('Tractors', 'Trams')",Vehicles,9.269444444444444,0.0,
516,Vehicles,General,"('Sleds', 'Carriages')",Vehicles,9.322222222222223,0.0,
532,Vehicles,General,"('Mopeds', 'Helicopters')",Vehicles,9.325000000000001,0.0,
511,Vehicles,General,"('Rockets', 'Trains')",Vehicles,9.344444444444445,0.0,
522,Vehicles,General,"('Submarines', 'Mopeds')",Vehicles,9.344444444444445,0.0,
484,Vehicles,General,"('Helicopters', 'Trams')",Vehicles,9.405555555555555,0.0,
528,Vehicles,General,"('Submarines', 'Trams')",Vehicles,9.411111111111111,0.0,
481,Vehicles,General,"('Caravans', 'Carts')",Vehicles,9.419444444444446,0.0,
438,Vehicles,General,"('Submarines', 'Motorbikes')",Vehicles,9.427777777777779,0.0,
464,Vehicles,General,"('Trains', 'Tractors')",Vehicles,9.491666666666667,0.0,
455,Vehicles,General,"('Caravans', 'Boats')",Vehicles,9.516666666666666,0.0,
473,Vehicles,General,"('Zeppelins', 'Trains')",Vehicles,9.602777777777778,0.0,
478,Vehicles,General,"('Caravans', 'Jeeps')",Vehicles,9.636111111111111,0.0,
505,Vehicles,General,"('Caravans', 'Zeppelins')",Vehicles,9.652777777777777,0.0,
483,Vehicles,General,"('Mopeds', 'Caravans')",Vehicles,9.705555555555556,0.0,
525,Vehicles,General,"('Taxis', 'Skateboards')",Vehicles,9.772222222222222,0.0,
501,Vehicles,General,"('Trams', 'Taxis')",Vehicles,9.866666666666667,0.0,
439,Vehicles,General,"('Rockets', 'Jeeps')",Vehicles,9.902777777777779,0.0,
526,Vehicles,General,"('Trains', 'Buses')",Vehicles,9.933333333333332,0.0,
459,Vehicles,General,"('Motorbikes', 'Airplanes')",Vehicles,9.947222222222223,0.0,
506,Vehicles,General,"('Jeeps', 'Bicycles')",Vehicles,9.952777777777778,0.0,
446,Vehicles,General,"('Taxis', 'Cars')",Vehicles,9.966666666666667,0.0,
521,Vehicles,General,"('Trucks', 'Jeeps')",Vehicles,9.997222222222222,0.0,
466,Vehicles,General,"('Carriages', 'Trains')",Vehicles,10.022222222222222,0.0,
468,Vehicles,General,"('Mopeds', 'Jeeps')",Vehicles,10.03888888888889,0.0,
476,Vehicles,General,"('Submarines', 'Carriages')",Vehicles,10.066666666666666,0.0,
498,Vehicles,General,"('Carriages', 'Helicopters')",Vehicles,10.152777777777779,0.0,
507,Vehicles,General,"('Trucks', 'Skateboards')",Vehicles,10.169444444444444,0.0,
529,Vehicles,General,"('Jeeps', 'Hovercraft')",Vehicles,10.172222222222222,0.0,
508,Vehicles,General,"('Zeppelins', 'Carriages')",Vehicles,10.280555555555555,0.0,
463,Vehicles,General,"('Vans', 'Bicycles')",Vehicles,10.291666666666666,0.0,
531,Vehicles,General,"('Trucks', 'Boats')",Vehicles,10.319444444444445,0.0,
452,Vehicles,General,"('Helicopters', 'Vans')",Vehicles,10.338888888888889,0.0,
454,Vehicles,General,"('Taxis', 'Zeppelins')",Vehicles,10.430555555555555,0.0,
503,Vehicles,General,"('Buses', 'Submarines')",Vehicles,10.48611111111111,0.0,
485,Vehicles,General,"('Vans', 'Zeppelins')",Vehicles,10.488888888888889,0.0,
482,Vehicles,General,"('Cars', 'Skateboards')",Vehicles,10.508333333333335,0.0,
512,Vehicles,General,"('Buses', 'Hovercraft')",Vehicles,10.527777777777777,0.0,
443,Vehicles,General,"('Carts', 'Cars')",Vehicles,10.566666666666666,0.0,
510,Vehicles,General,"('Buses', 'Carts')",Vehicles,10.58888888888889,0.0,
493,Vehicles,General,"('Cars', 'Trucks')",Vehicles,10.591666666666667,0.0,
527,Vehicles,General,"('Trucks', 'Motorbikes')",Vehicles,10.602777777777778,0.0,
486,Vehicles,General,"('Carriages', 'Cars')",Vehicles,10.688888888888888,0.0,
447,Vehicles,General,"('Airplanes', 'Vans')",Vehicles,10.68888888888889,0.0,
499,Vehicles,General,"('Bicycles', 'Buses')",Vehicles,10.725,0.0,
451,Vehicles,General,"('Mopeds', 'Buses')",Vehicles,10.733333333333334,0.0,
477,Vehicles,General,"('Buses', 'Motorbikes')",Vehicles,10.772222222222224,0.0,
475,Vehicles,General,"('Rockets', 'Cars')",Vehicles,10.800000000000002,0.0,
449,Vehicles,General,"('Cars', 'Mopeds')",Vehicles,10.825000000000001,0.0,
458,Vehicles,General,"('Buses', 'Cars')",Vehicles,10.933333333333332,0.0,
450,Vehicles,General,"('Cars', 'Submarines')",Vehicles,10.966666666666667,0.0,
456,Vehicles,General,"('Helicopters', 'Cars')",Vehicles,11.002777777777778,0.0,
444,Vehicles,General,"('Boats', 'Cars')",Vehicles,11.036111111111111,0.0,
518,Vehicles,General,"('Cars', 'Hovercraft')",Vehicles,11.036111111111111,0.0,
440,Vehicles,General,"('Cars', 'Zeppelins')",Vehicles,11.119444444444445,0.0,
491,Vehicles,General,"('Airplanes', 'Cars')",Vehicles,11.313888888888888,0.0,
580,Vehicles,Specific,"('Rockets', 'Submarines')",Sleds,5.881944444444445,0.0,
604,Vehicles,Specific,"('Zeppelins', 'Helicopters')",Skateboards,6.083333333333334,0.0,
621,Vehicles,Specific,"('Zeppelins', 'Rockets')",Carts,6.215277777777778,0.0,
572,Vehicles,Specific,"('Boats', 'Submarines')",Sleds,6.381944444444445,0.0,
586,Vehicles,Specific,"('Bicycles', 'Skateboards')",Zeppelins,6.454166666666666,0.0,
609,Vehicles,Specific,"('Rockets', 'Zeppelins')",Trams,6.548611111111111,0.0,
594,Vehicles,Specific,"('Skateboards', 'Bicycles')",Airplanes,6.554166666666666,0.0,
632,Vehicles,Specific,"('Rockets', 'Submarines')",Vans,6.615277777777778,0.0,
547,Vehicles,Specific,"('Rockets', 'Helicopters')",Motorbikes,6.6402777777777775,0.0,
587,Vehicles,Specific,"('Submarines', 'Zeppelins')",Carriages,6.6875,0.0,
558,Vehicles,Specific,"('Sleds', 'Submarines')",Tractors,6.918055555555556,0.0,
539,Vehicles,Specific,"('Sleds', 'Caravans')",Rockets,7.0152777777777775,0.0,
625,Vehicles,Specific,"('Carts', 'Carriages')",Submarines,7.065277777777777,0.0,
628,Vehicles,Specific,"('Airplanes', 'Helicopters')",Jeeps,7.165277777777778,0.0,
553,Vehicles,Specific,"('Boats', 'Helicopters')",Mopeds,7.236111111111111,0.0,
552,Vehicles,Specific,"('Sleds', 'Airplanes')",Tractors,7.344444444444445,0.0,
611,Vehicles,Specific,"('Zeppelins', 'Airplanes')",Trams,7.3597222222222225,0.0,
567,Vehicles,Specific,"('Skateboards', 'Carriages')",Zeppelins,7.361111111111112,0.0,
596,Vehicles,Specific,"('Vans', 'Taxis')",Rockets,7.470833333333334,0.0,
614,Vehicles,Specific,"('Bicycles', 'Carriages')",Helicopters,7.580555555555556,0.0,
574,Vehicles,Specific,"('Skateboards', 'Carriages')",Hovercraft,7.594444444444445,0.0,
608,Vehicles,Specific,"('Helicopters', 'Zeppelins')",Boats,7.65,0.0,
570,Vehicles,Specific,"('Submarines', 'Sleds')",Caravans,7.651388888888889,0.0,
548,Vehicles,Specific,"('Helicopters', 'Bicycles')",Taxis,7.729166666666666,0.0,
606,Vehicles,Specific,"('Rockets', 'Boats')",Trains,7.959722222222222,0.0,
568,Vehicles,Specific,"('Motorbikes', 'Vans')",Submarines,7.975,0.0,
577,Vehicles,Specific,"('Airplanes', 'Skateboards')",Carts,8.180555555555555,0.0,
607,Vehicles,Specific,"('Submarines', 'Caravans')",Trams,8.409722222222221,0.0,
562,Vehicles,Specific,"('Trucks', 'Jeeps')",Hovercraft,8.431944444444444,0.0,
583,Vehicles,Specific,"('Trams', 'Zeppelins')",Motorbikes,8.434722222222222,0.0,
575,Vehicles,Specific,"('Taxis', 'Hovercraft')",Helicopters,8.540277777777778,0.0,
542,Vehicles,Specific,"('Motorbikes', 'Bicycles')",Carriages,8.64027777777778,0.0,
589,Vehicles,Specific,"('Carriages', 'Caravans')",Boats,8.795833333333334,0.0,
623,Vehicles,Specific,"('Hovercraft', 'Trams')",Airplanes,8.87361111111111,0.0,
612,Vehicles,Specific,"('Motorbikes', 'Submarines')",Tractors,8.880555555555556,0.0,
554,Vehicles,Specific,"('Boats', 'Jeeps')",Motorbikes,8.933333333333334,0.0,
543,Vehicles,Specific,"('Mopeds', 'Airplanes')",Jeeps,9.045833333333334,0.0,
569,Vehicles,Specific,"('Caravans', 'Mopeds')",Trains,9.052777777777777,0.0,
541,Vehicles,Specific,"('Zeppelins', 'Carts')",Submarines,9.283333333333333,0.0,
549,Vehicles,Specific,"('Vans', 'Buses')",Mopeds,9.319444444444445,0.0,
597,Vehicles,Specific,"('Rockets', 'Mopeds')",Cars,9.36111111111111,0.0,
634,Vehicles,Specific,"('Trains', 'Tractors')",Carriages,9.379166666666666,0.0,
546,Vehicles,Specific,"('Trams', 'Bicycles')",Carriages,9.43888888888889,0.0,
556,Vehicles,Specific,"('Carriages', 'Motorbikes')",Trams,9.725000000000001,0.0,
536,Vehicles,Specific,"('Trains', 'Taxis')",Carts,9.734722222222222,0.0,
588,Vehicles,Specific,"('Jeeps', 'Sleds')",Buses,9.743055555555555,0.0,
600,Vehicles,Specific,"('Carts', 'Trains')",Trucks,9.769444444444444,0.0,
601,Vehicles,Specific,"('Sleds', 'Buses')",Airplanes,9.913888888888888,0.0,
566,Vehicles,Specific,"('Caravans', 'Sleds')",Buses,9.981944444444444,0.0,
619,Vehicles,Specific,"('Caravans', 'Carts')",Buses,10.109722222222224,0.0,
585,Vehicles,Specific,"('Helicopters', 'Mopeds')",Zeppelins,10.2625,0.0,
620,Vehicles,Specific,"('Zeppelins', 'Tractors')",Jeeps,10.283333333333331,0.0,
630,Vehicles,Specific,"('Motorbikes', 'Sleds')",Carts,10.431944444444444,0.0,
616,Vehicles,Specific,"('Skateboards', 'Taxis')",Vans,10.452777777777778,0.0,
559,Vehicles,Specific,"('Cars', 'Airplanes')",Tractors,10.690277777777776,0.0,
578,Vehicles,Specific,"('Helicopters', 'Vans')",Taxis,10.73611111111111,0.0,
610,Vehicles,Specific,"('Sleds', 'Buses')",Carriages,10.747222222222222,0.0,
538,Vehicles,Specific,"('Jeeps', 'Trams')",Trucks,10.765277777777778,0.0,
598,Vehicles,Specific,"('Skateboards', 'Trucks')",Caravans,10.784722222222221,0.0,
627,Vehicles,Specific,"('Submarines', 'Buses')",Taxis,11.10972222222222,0.0,
563,Vehicles,Specific,"('Trucks', 'Airplanes')",Jeeps,11.140277777777778,0.0,
582,Vehicles,Specific,"('Tractors', 'Airplanes')",Zeppelins,11.338888888888889,0.0,
550,Vehicles,Specific,"('Trains', 'Carts')",Buses,11.43611111111111,0.0,
555,Vehicles,Specific,"('Bicycles', 'Helicopters')",Mopeds,11.5625,0.0,
537,Vehicles,Specific,"('Trams', 'Boats')",Submarines,11.629166666666666,0.0,
615,Vehicles,Specific,"('Boats', 'Mopeds')",Submarines,11.693055555555556,0.0,
561,Vehicles,Specific,"('Boats', 'Buses')",Trains,11.726388888888888,0.0,
633,Vehicles,Specific,"('Jeeps', 'Trams')",Buses,11.965277777777779,0.0,
544,Vehicles,Specific,"('Bicycles', 'Jeeps')",Mopeds,12.009722222222223,0.0,
560,Vehicles,Specific,"('Buses', 'Rockets')",Trucks,12.011111111111111,0.0,
551,Vehicles,Specific,"('Caravans', 'Helicopters')",Airplanes,12.04861111111111,0.0,
635,Vehicles,Specific,"('Vans', 'Mopeds')",Cars,12.202777777777778,0.0,
593,Vehicles,Specific,"('Airplanes', 'Trucks')",Buses,12.206944444444444,0.0,
565,Vehicles,Specific,"('Sleds', 'Buses')",Trams,12.280555555555555,0.0,
631,Vehicles,Specific,"('Bicycles', 'Trucks')",Motorbikes,12.393055555555556,0.0,
557,Vehicles,Specific,"('Motorbikes', 'Carts')",Carriages,12.397222222222222,0.0,
571,Vehicles,Specific,"('Boats', 'Vans')",Hovercraft,12.465277777777779,0.0,
590,Vehicles,Specific,"('Helicopters', 'Cars')",Vans,12.534722222222221,0.0,
602,Vehicles,Specific,"('Airplanes', 'Trucks')",Helicopters,12.606944444444444,0.0,
579,Vehicles,Specific,"('Carriages', 'Airplanes')",Carts,12.740277777777777,0.0,
545,Vehicles,Specific,"('Vans', 'Tractors')",Trucks,13.030555555555555,0.0,
592,Vehicles,Specific,"('Caravans', 'Trucks')",Vans,13.172222222222224,0.0,
626,Vehicles,Specific,"('Trains', 'Carts')",Trams,13.269444444444446,0.0,
584,Vehicles,Specific,"('Carriages', 'Trains')",Trams,13.277777777777779,0.0,
618,Vehicles,Specific,"('Jeeps', 'Trucks')",Vans,13.29861111111111,0.0,
595,Vehicles,Specific,"('Boats', 'Trucks')",Vans,13.459722222222222,0.0,
573,Vehicles,Specific,"('Rockets', 'Jeeps')",Cars,13.551388888888889,0.0,
540,Vehicles,Specific,"('Cars', 'Trucks')",Vans,13.595833333333335,0.0,
564,Vehicles,Specific,"('Skateboards', 'Mopeds')",Motorbikes,13.6125,0.0,
617,Vehicles,Specific,"('Jeeps', 'Hovercraft')",Cars,13.68611111111111,0.0,
581,Vehicles,Specific,"('Sleds', 'Cars')",Jeeps,13.884722222222223,0.0,
613,Vehicles,Specific,"('Taxis', 'Vans')",Cars,14.004166666666666,0.0,
599,Vehicles,Specific,"('Taxis', 'Carts')",Cars,14.008333333333333,0.0,
591,Vehicles,Specific,"('Taxis', 'Carriages')",Cars,14.033333333333333,0.0,
576,Vehicles,Specific,"('Taxis', 'Rockets')",Cars,14.07638888888889,0.0,
624,Vehicles,Specific,"('Cars', 'Submarines')",Jeeps,14.083333333333332,0.0,
603,Vehicles,Specific,"('Taxis', 'Bicycles')",Cars,14.113888888888889,0.0,
622,Vehicles,Specific,"('Trams', 'Motorbikes')",Mopeds,14.14027777777778,0.0,
605,Vehicles,Specific,"('Motorbikes', 'Trucks')",Mopeds,14.568055555555556,0.0,
629,Vehicles,Specific,"('Cars', 'Motorbikes')",Mopeds,14.695833333333335,0.0,
